"","age_group","cumulative","date","incidence"
"461","<5",116,2020-06-02,1
"462","5-14",405,2020-06-02,1
"463","15-24",1563,2020-06-02,1
"464","25-34",2385,2020-06-02,3
"465","35-44",2368,2020-06-02,1
"466","45-54",3408,2020-06-02,1
"467","55-64",2716,2020-06-02,2
"468","65-74",1439,2020-06-02,0
"469","75-84",1367,2020-06-02,-1
"470",">84",905,2020-06-02,2
"471","<5",116,2020-06-03,0
"472","5-14",406,2020-06-03,1
"473","15-24",1566,2020-06-03,3
"474","25-34",2391,2020-06-03,6
"475","35-44",2375,2020-06-03,7
"476","45-54",3416,2020-06-03,8
"477","55-64",2720,2020-06-03,4
"478","65-74",1440,2020-06-03,1
"479","75-84",1370,2020-06-03,3
"480",">84",905,2020-06-03,0
"481","<5",117,2020-06-04,1
"482","5-14",411,2020-06-04,5
"483","15-24",1572,2020-06-04,6
"484","25-34",2396,2020-06-04,5
"485","35-44",2381,2020-06-04,6
"486","45-54",3421,2020-06-04,5
"487","55-64",2724,2020-06-04,4
"488","65-74",1442,2020-06-04,2
"489","75-84",1371,2020-06-04,1
"490",">84",905,2020-06-04,0
"491","<5",121,2020-06-05,4
"492","5-14",417,2020-06-05,6
"493","15-24",1580,2020-06-05,8
"494","25-34",2403,2020-06-05,7
"495","35-44",2397,2020-06-05,16
"496","45-54",3434,2020-06-05,13
"497","55-64",2730,2020-06-05,6
"498","65-74",1443,2020-06-05,1
"499","75-84",1372,2020-06-05,1
"500",">84",906,2020-06-05,1
"501","<5",121,2020-06-06,0
"502","5-14",416,2020-06-06,-1
"503","15-24",1581,2020-06-06,1
"504","25-34",2402,2020-06-06,-1
"505","35-44",2396,2020-06-06,-1
"506","45-54",3439,2020-06-06,5
"507","55-64",2735,2020-06-06,5
"508","65-74",1444,2020-06-06,1
"509","75-84",1376,2020-06-06,4
"510",">84",912,2020-06-06,6
"511","<5",122,2020-06-07,1
"512","5-14",426,2020-06-07,10
"513","15-24",1584,2020-06-07,3
"514","25-34",2408,2020-06-07,6
"515","35-44",2407,2020-06-07,11
"516","45-54",3440,2020-06-07,1
"517","55-64",2745,2020-06-07,10
"518","65-74",1446,2020-06-07,2
"519","75-84",1378,2020-06-07,2
"520",">84",912,2020-06-07,0
"521","<5",123,2020-06-08,1
"522","5-14",434,2020-06-08,8
"523","15-24",1586,2020-06-08,2
"524","25-34",2409,2020-06-08,1
"525","35-44",2411,2020-06-08,4
"526","45-54",3444,2020-06-08,4
"527","55-64",2747,2020-06-08,2
"528","65-74",1446,2020-06-08,0
"529","75-84",1377,2020-06-08,-1
"530",">84",912,2020-06-08,0
"531","<5",123,2020-06-09,0
"532","5-14",433,2020-06-09,-1
"533","15-24",1588,2020-06-09,2
"534","25-34",2415,2020-06-09,6
"535","35-44",2412,2020-06-09,1
"536","45-54",3445,2020-06-09,1
"537","55-64",2750,2020-06-09,3
"538","65-74",1445,2020-06-09,-1
"539","75-84",1379,2020-06-09,2
"540",">84",912,2020-06-09,0
"541","<5",125,2020-06-10,2
"542","5-14",436,2020-06-10,3
"543","15-24",1591,2020-06-10,3
"544","25-34",2422,2020-06-10,7
"545","35-44",2415,2020-06-10,3
"546","45-54",3446,2020-06-10,1
"547","55-64",2756,2020-06-10,6
"548","65-74",1447,2020-06-10,2
"549","75-84",1382,2020-06-10,3
"550",">84",915,2020-06-10,3
"551","<5",125,2020-06-11,0
"552","5-14",438,2020-06-11,2
"553","15-24",1597,2020-06-11,6
"554","25-34",2424,2020-06-11,2
"555","35-44",2419,2020-06-11,4
"556","45-54",3452,2020-06-11,6
"557","55-64",2758,2020-06-11,2
"558","65-74",1448,2020-06-11,1
"559","75-84",1383,2020-06-11,1
"560",">84",915,2020-06-11,0
"561","<5",125,2020-06-12,0
"562","5-14",439,2020-06-12,1
"563","15-24",1602,2020-06-12,5
"564","25-34",2428,2020-06-12,4
"565","35-44",2424,2020-06-12,5
"566","45-54",3456,2020-06-12,4
"567","55-64",2768,2020-06-12,10
"568","65-74",1448,2020-06-12,0
"569","75-84",1387,2020-06-12,4
"570",">84",915,2020-06-12,0
"571","<5",125,2020-06-13,0
"572","5-14",443,2020-06-13,4
"573","15-24",1607,2020-06-13,5
"574","25-34",2429,2020-06-13,1
"575","35-44",2425,2020-06-13,1
"576","45-54",3459,2020-06-13,3
"577","55-64",2771,2020-06-13,3
"578","65-74",1447,2020-06-13,-1
"579","75-84",1391,2020-06-13,4
"580",">84",917,2020-06-13,2
"581","<5",125,2020-06-14,0
"582","5-14",445,2020-06-14,2
"583","15-24",1609,2020-06-14,2
"584","25-34",2434,2020-06-14,5
"585","35-44",2424,2020-06-14,-1
"586","45-54",3463,2020-06-14,4
"587","55-64",2774,2020-06-14,3
"588","65-74",1447,2020-06-14,0
"589","75-84",1394,2020-06-14,3
"590",">84",919,2020-06-14,2
"591","<5",128,2020-06-15,3
"592","5-14",457,2020-06-15,12
"593","15-24",1621,2020-06-15,12
"594","25-34",2441,2020-06-15,7
"595","35-44",2430,2020-06-15,6
"596","45-54",3469,2020-06-15,6
"597","55-64",2781,2020-06-15,7
"598","65-74",1450,2020-06-15,3
"599","75-84",1395,2020-06-15,1
"600",">84",922,2020-06-15,3
"601","<5",128,2020-06-16,0
"602","5-14",459,2020-06-16,2
"603","15-24",1625,2020-06-16,4
"604","25-34",2443,2020-06-16,2
"605","35-44",2430,2020-06-16,0
"606","45-54",3471,2020-06-16,2
"607","55-64",2781,2020-06-16,0
"608","65-74",1452,2020-06-16,2
"609","75-84",1394,2020-06-16,-1
"610",">84",923,2020-06-16,1
"611","<5",127,2020-06-17,-1
"612","5-14",461,2020-06-17,2
"613","15-24",1630,2020-06-17,5
"614","25-34",2446,2020-06-17,3
